kakou_no,statusRate,X,Y
3701055106,0.98 ,116.9514403,36.69166731
3701055107,0.65 ,116.9517727,36.7181824
3701055108,0.90 ,116.9684181,36.72091829
3701055109,0.93 ,116.9885665,36.72229902
3701055110,0.98 ,116.9876822,36.70676974
3701055111,0.88 ,116.9705659,36.69841753
3701055112,0.97 ,116.9934758,36.70498878
3701055113,0.92 ,117.0024505,36.70299439
3701055114,0.98 ,117.027815,36.70250858
3701055115,0.98 ,117.0221642,36.70291769
3701055116,0.73 ,117.0109394,36.7034802
3701055117,0.27 ,117.0375824,36.7030711
3701055118,0.98 ,117.045317,36.70287933
3701055119,0.99 ,117.0372752,36.68923583
3701055120,0.98 ,116.9759865,36.6962186
3701055125,0.93 ,117.0252709,36.68519834
3701055126,0.92 ,117.0092519,36.68422671
3701055127,0.98 ,117.0204128,36.68496822
3701055128,0.47 ,116.9879784,36.67765547
3701055130,0.91 ,117.0092647,36.67653043
3701055131,0.74 ,117.0020414,36.6744082
3701055132,0.98 ,116.978096,36.68334458
3701055133,0.98 ,116.9994589,36.68450797
3701055134,0.98 ,116.9514786,36.68325509
3701055135,0.98 ,117.0365852,36.69634644
3701055136,0.98 ,116.9846672,36.68441848
3701055137,0.98 ,116.9641225,36.68362584
3701055138,0.97 ,117.0184439,36.71690395
3701055139,0.51 ,117.0244015,36.78082656
3701055140,0.94 ,117.0559665,36.78770463
3701055141,0.78 ,116.9075382,36.78982686
3701055142,0.98 ,116.9467611,36.68219398
3701055144,0.97 ,116.9510439,36.67918961
3701055152,0.94 ,117.0454576,36.66072876
3701111001,0.97 ,117.0409319,36.72030463
3701111002,0.98 ,117.0669612,36.67560995
3701111004,0.98 ,117.0150049,36.71698066
3701111005,0.98 ,116.9250019,36.72107171
3701111006,0.96 ,116.9896915,36.54996367
3701111010,0.98 ,116.9340533,36.67990555
3701111011,0.94 ,116.9244905,36.68092831
3701111012,0.98 ,116.9298089,36.66543347
3701111013,0.64 ,116.9302691,36.68491708
3701111014,0.98 ,116.9248485,36.71069067
3701126001,0.09 ,117.1684703,36.3910265
3701126002,0.32 ,117.0836834,36.34582043
3701126003,0.44 ,117.2170003,36.75477171
3701126010,0.85 ,117.0509805,36.67164675
3701126011,0.94 ,117.049766,36.67410137
3701126012,0.52 ,117.0714869,36.67174902
3701126013,0.71 ,117.0595973,36.68463582
3701126014,0.97 ,117.050955,36.68879079
3701126015,0.96 ,117.0786974,36.68755069
3701126016,0.45 ,117.0789786,36.67630031
3701126017,0.72 ,117.0745041,36.67315532
3701126018,0.19 ,117.0594695,36.70023294
3701126022,0.82 ,117.0768564,36.73764045
3701126027,0.00 ,117.1694675,36.68831776
3701126028,0.83 ,117.1807946,36.68857345
3701126029,0.80 ,117.155072,36.452085
3701126032,0.64 ,117.2041647,36.82385926
3701126034,0.27 ,117.2145969,36.50557581
3701126035,0.95 ,117.2857811,36.75579447
3701126036,0.73 ,117.293145,36.84421222
3701126038,0.60 ,117.2206311,36.66901313
3701126039,0.97 ,117.2076165,36.67247774
3701126040,0.87 ,117.25428,36.47693848
3701126041,0.92 ,117.2248756,36.62242634
3701126042,0.76 ,116.98918,36.45975608
3701126043,0.97 ,117.0138287,36.48777976
3701126044,0.72 ,117.0255905,36.45484683
3701126045,0.98 ,117.0567847,36.45985836
3701126046,0.76 ,117.1801298,36.51815578
3701126047,0.90 ,117.2084603,36.50884865
3701126048,0.98 ,117.22058,36.64605213
3701126049,0.03 ,117.2712579,36.63771663
3701126050,0.97 ,117.2609791,36.7299186
3701126051,0.93 ,117.1393216,36.50271208
3701126060,0.85 ,117.136867,36.35932088
3701126061,0.52 ,117.2118865,36.4603186
3701126062,0.70 ,117.0930928,36.34888871
3701126063,0.58 ,117.0210903,36.37466231
3701126067,0.95 ,117.0898711,36.7543626
3701126069,0.98 ,117.3199413,36.85270114
3701126070,0.51 ,117.2295292,36.73201526
3701126071,0.69 ,117.2844515,36.73968597
3701126073,0.81 ,117.2032442,36.74633392
3701126074,0.60 ,117.2875198,36.55308309
3701126076,0.37 ,117.2305519,36.49084804
3701126077,0.65 ,117.2037556,36.72270812
3701126078,0.96 ,117.2064148,36.69049113
3701126079,0.33 ,117.1971076,36.78908536
3701126080,0.95 ,117.2315747,36.578601
3701126101,0.60 ,117.0662197,36.68540289
3701126102,0.98 ,117.0575518,36.7023296
3701126103,0.98 ,117.0639392,36.71486231
3701126104,0.49 ,117.0690834,36.71626473
3701126105,0.94 ,117.0709883,36.71372061
3701126108,0.91 ,117.2204522,36.64548961
3701126109,0.98 ,117.0277639,36.7220689
3701126115,0.95 ,117.1693013,36.66884694
3701126118,0.98 ,117.0595717,36.69603961
3701126119,0.98 ,117.0669101,36.67153169
3701126120,0.98 ,117.062461,36.69047835
3701126121,0.98 ,117.0668845,36.67962429
3701126122,0.72 ,117.0737753,36.68067262
3701126123,0.94 ,117.0784033,36.68833055
3701126124,0.97 ,117.0862147,36.68941723
3701126125,0.93 ,117.2077571,36.67298912
3701126126,0.97 ,117.0587408,36.67160839
3701126130,0.94 ,117.0439363,36.69104086
3701126131,0.65 ,116.9912129,36.68430342
3701126133,0.42 ,117.0727654,36.68678362
3701126134,0.72 ,117.0784289,36.68825384
3701126135,0.93 ,117.060147,36.68409887
3701126136,0.89 ,117.0603388,36.67958593
3701126137,0.77 ,117.0868028,36.68452076
3701126614,1.00 ,117.2304497,36.6700359
3701126615,1.00 ,117.2308588,36.66983134
3701126637,0.95 ,117.13206,36.68905926
3701247001,0.52 ,116.49197,36.35937
3701247003,0.02 ,116.33804,36.29504
3701247005,0.50 ,116.22697,36.17341
3701247006,0.53 ,116.27026,36.11452
3701247008,0.51 ,116.47659,36.31124
3701247009,0.94 ,116.45208,36.30758
3701247010,0.69 ,116.41609,36.29791
3701247011,0.54 ,116.44873,36.29229
3701247013,0.91 ,116.46194,36.28814
3701247015,0.23 ,116.44781,36.28295
3701247017,0.68 ,116.44696,36.27319
3701247018,0.97 ,116.45558,36.27339
3701247020,0.93 ,116.551441,36.31414
3701247021,0.58 ,116.46099,36.28251
3701247031,0.67 ,116.269923,36.15574016
3701247033,0.60 ,116.3362491,36.10444866
3701247037,0.68 ,116.4924248,36.18473546
3701247045,0.37 ,116.3307262,36.22002074
3701247047,0.86 ,116.4022172,36.16775761
3701247048,0.92 ,116.4190928,36.17967279
3701247051,0.83 ,116.4757538,36.09907916
3701247053,0.65 ,116.4900724,36.29555169
3701247055,0.69 ,116.4060526,36.26916444
3701257102,0.98 ,116.9319055,37.01409294
3701257103,0.95 ,117.1176774,36.92641669
3701257104,0.98 ,117.2249779,37.04293482
3701257105,0.67 ,117.1136758,36.93124924
3701260001,0.96 ,117.1616178,37.13334696
3701260002,0.96 ,117.162436,37.13314241
3701260003,0.95 ,117.0397046,37.2589421
3701260004,0.96 ,117.0407274,37.25791934
3701260005,0.59 ,117.1374806,37.43281159
3701260006,0.56 ,117.1378897,37.43935727
3701260007,0.96 ,117.3211686,37.416856
3701260008,0.98 ,117.3178958,37.41256091
3701260009,0.86 ,117.1610041,37.24646441
3701260010,0.97 ,117.1245938,37.33769475
3701260011,1.00 ,117.1745046,37.32051235
3701260012,0.96 ,117.1065932,37.27980644
3701260013,0.54 ,117.14464,37.34751326
3701260014,0.92 ,117.0642508,37.2715732
3701260015,0.89 ,117.0980532,37.23930507
3701260016,0.69 ,117.0637395,37.19686046
3701260017,0.83 ,117.0614894,37.4031515
3701260018,0.51 ,117.2322671,37.41286774
3701260019,0.66 ,117.3132934,37.44022661
3701260020,0.85 ,117.2247989,37.18760447
3701260021,0.47 ,117.2029757,37.22965276
3701260022,0.90 ,117.3412659,37.2486122
3701260024,0.65 ,117.15,37.47
3701260025,0.66 ,117.269,37.282
3701260100,0.96 ,117.152,37.297
3701260101,0.96 ,117.152,37.297
3701260102,0.92 ,117.152,37.297
3701260103,0.92 ,117.152,37.297
3701260116,0.95 ,117.161941,37.314675
3701260124,0.88 ,117.160113,37.324533
3701260132,0.93 ,117.163395,37.310239
3701260140,0.95 ,117.147556,37.286647
3701260148,0.96 ,117.154668,37.302094
3701260156,0.71 ,117.044559,37.261737
3701260203,0.96 ,117.168107,37.287476
3701267201,0.95 ,117.2585756,37.21931008
3701267202,0.72 ,117.2371487,37.51836561
3701267203,0.52 ,117.1616434,37.15600113
3701810101,0.07 ,117.55386,36.71213
3701810201,0.17 ,117.50875,36.71836
3701810202,0.18 ,117.56233,36.71718
3701810205,0.18 ,117.49215,36.72761
3701810301,0.00 ,117.69361,36.68116
3701810801,0.18 ,117.3661701,36.6747406
3701810904,0.03 ,117.6934539,36.53513362
3701811002,0.09 ,117.44647,36.48352
